objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,biography
1,objects/1111.jpg,,,sewing on tapes,,,,,,,,,,,,,,,
2,objects/1107.jpg,,,packed sewing in single cord,,,,,,,,,,,,,,,
3,objects/1109.jpg,,,herringbone sewing pattern,,,,,,,,,,,,,,,
4,objects/1110.jpg,,,regular single cord,,,,,,,,,,,,,,,
5,objects/1108.jpg,,,Two-on sewing,,,,,,,,,,,,,,,
