objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,biography
coll001,1111.jpg,,,sewing on tapes,,,,,,,,,,,,,,,
coll002,1107.jpg,,,packed sewing in single cord,,,,,,,,,,,,,,,
coll003,1109.jpg,,,herringbone sewing pattern,,,,,,,,,,,,,,,
coll004,1110.jpg,,,regular single cord,,,,,,,,,,,,,,,
coll005,1108.jpg,,,Two-on sewing,,,,,,,,,,,,,,,
